Date,Open,High,Low,Close
02/21/22, 0.012914, 0.013127, 0.012460, 0.012461
02/18/22, 0.013128, 0.013220, 0.012905, 0.012928
02/17/22, 0.013317, 0.013321, 0.013040, 0.013113
02/16/22, 0.013253, 0.013361, 0.013237, 0.013305
02/15/22, 0.013072, 0.013312, 0.013023, 0.013253
02/14/22, 0.013022, 0.013125, 0.012792, 0.013071
02/11/22, 0.013330, 0.013365, 0.012888, 0.013022
02/10/22, 0.013365, 0.013464, 0.013310, 0.013330
02/09/22, 0.013326, 0.013424, 0.013302, 0.013368
02/08/22, 0.013262, 0.013335, 0.013219, 0.013327
02/07/22, 0.013203, 0.013266, 0.013134, 0.013262
02/04/22, 0.013123, 0.013218, 0.013067, 0.013203
02/03/22, 0.013121, 0.013162, 0.013017, 0.013113
02/02/22, 0.013006, 0.013212, 0.013003, 0.013121
02/01/22, 0.012933, 0.013089, 0.012864, 0.013006
01/31/22, 0.012789, 0.012964, 0.012789, 0.012933
01/28/22, 0.012824, 0.012922, 0.012766, 0.012789
01/27/22, 0.012634, 0.012920, 0.012542, 0.012827
01/26/22, 0.012706, 0.012734, 0.012449, 0.012634
01/25/22, 0.012673, 0.012770, 0.012605, 0.012706
01/24/22, 0.012924, 0.012989, 0.012580, 0.012688
01/21/22, 0.013127, 0.013136, 0.012857, 0.012888
01/20/22, 0.013131, 0.013159, 0.013010, 0.013127
01/19/22, 0.012981, 0.013183, 0.012962, 0.013131
01/18/22, 0.012981, 0.012981, 0.012981, 0.012981
01/17/22, 0.013117, 0.013211, 0.013022, 0.013101
01/14/22, 0.013074, 0.013226, 0.012992, 0.013117
01/13/22, 0.013402, 0.013429, 0.013052, 0.013075
01/12/22, 0.013439, 0.013457, 0.013351, 0.013408
01/11/22, 0.013332, 0.013460, 0.013306, 0.013436
